threshold,tp,fp,fn,tn,alerts_day,precision,recall,savings_day,cost_day,net_day,within_capacity
0.17151256281407035,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
0.17652763819095477,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
0.1815427135678392,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
0.1865577889447236,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
0.19157286432160803,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
0.19658793969849245,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
0.20160301507537687,2465,1915,1627,97423,125.03787329355411,0.5627853881278538,0.602394916911046,12070.063102174005,625.1893664677706,11444.873735706235,True
0.20661809045226132,2384,1597,1708,97741,113.64743689078514,0.5988445114292891,0.5826001955034213,11673.440338978835,568.2371844539257,11105.203154524908,True
0.21163316582914574,2384,1597,1708,97741,113.64743689078514,0.5988445114292891,0.5826001955034213,11673.440338978835,568.2371844539257,11105.203154524908,True
0.21664824120603016,2384,1597,1708,97741,113.64743689078514,0.5988445114292891,0.5826001955034213,11673.440338978835,568.2371844539257,11105.203154524908,True
0.22166331658291458,2384,1597,1708,97741,113.64743689078514,0.5988445114292891,0.5826001955034213,11673.440338978835,568.2371844539257,11105.203154524908,True
0.226678391959799,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.23169346733668342,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.23670854271356784,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.24172361809045226,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.24673869346733668,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.2517537688442211,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.2567688442211055,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.26178391959798997,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.26679899497487436,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.2718140703517588,2325,1393,1767,97945,106.13945500124069,0.6253362022592792,0.5681818181818182,11384.542276898403,530.6972750062034,10853.8450018922,True
0.2768291457286432,2224,1127,1868,98211,95.66253730746571,0.663682482840943,0.5434995112414467,10889.987967235289,478.3126865373286,10411.67528069796,True
0.28184422110552765,2224,1127,1868,98211,95.66253730746571,0.663682482840943,0.5434995112414467,10889.987967235289,478.3126865373286,10411.67528069796,True
0.28685929648241204,2224,1127,1868,98211,95.66253730746571,0.663682482840943,0.5434995112414467,10889.987967235289,478.3126865373286,10411.67528069796,True
0.2918743718592965,2224,1127,1868,98211,95.66253730746571,0.663682482840943,0.5434995112414467,10889.987967235289,478.3126865373286,10411.67528069796,True
0.2968894472361809,2224,1127,1868,98211,95.66253730746571,0.663682482840943,0.5434995112414467,10889.987967235289,478.3126865373286,10411.67528069796,True
0.30190452261306533,2224,1127,1868,98211,95.66253730746571,0.663682482840943,0.5434995112414467,10889.987967235289,478.3126865373286,10411.67528069796,True
0.3069195979899497,2224,1127,1868,98211,95.66253730746571,0.663682482840943,0.5434995112414467,10889.987967235289,478.3126865373286,10411.67528069796,True
0.31193467336683417,2216,1109,1876,98229,94.92030335640808,0.6664661654135339,0.541544477028348,10850.815348648111,474.60151678204045,10376.21383186607,True
0.31694974874371856,2216,1109,1876,98229,94.92030335640808,0.6664661654135339,0.541544477028348,10850.815348648111,474.60151678204045,10376.21383186607,True
0.321964824120603,2177,1025,1915,98313,91.40896581871239,0.6798875702685822,0.5320136852394917,10659.848833035621,457.044829093562,10202.80400394206,True
0.32697989949748746,2177,1025,1915,98313,91.40896581871239,0.6798875702685822,0.5320136852394917,10659.848833035621,457.044829093562,10202.80400394206,True
0.33199497487437185,2090,846,2002,98492,83.81534155019975,0.7118528610354223,0.510752688172043,10233.846605900068,419.0767077509987,9814.769898149068,True
0.3370100502512563,2089,844,2003,98494,83.72969917123156,0.7122400272758268,0.5105083088954057,10228.950028576672,418.6484958561578,9810.301532720514,True
0.3420251256281407,2089,844,2003,98494,83.72969917123156,0.7122400272758268,0.5105083088954057,10228.950028576672,418.6484958561578,9810.301532720514,True
0.34704020100502514,2089,844,2003,98494,83.72969917123156,0.7122400272758268,0.5105083088954057,10228.950028576672,418.6484958561578,9810.301532720514,True
0.35205527638190953,2089,844,2003,98494,83.72969917123156,0.7122400272758268,0.5105083088954057,10228.950028576672,418.6484958561578,9810.301532720514,True
0.357070351758794,2089,844,2003,98494,83.72969917123156,0.7122400272758268,0.5105083088954057,10228.950028576672,418.6484958561578,9810.301532720514,True
0.3620854271356784,2089,844,2003,98494,83.72969917123156,0.7122400272758268,0.5105083088954057,10228.950028576672,418.6484958561578,9810.301532720514,True
0.3671005025125628,2089,844,2003,98494,83.72969917123156,0.7122400272758268,0.5105083088954057,10228.950028576672,418.6484958561578,9810.301532720514,True
0.3721155778894472,1941,593,2151,98745,72.33926276846259,0.765982636148382,0.4743401759530792,9504.256584713892,361.6963138423129,9142.56027087158,True
0.37713065326633166,1941,593,2151,98745,72.33926276846259,0.765982636148382,0.4743401759530792,9504.256584713892,361.6963138423129,9142.56027087158,True
0.38214572864321605,1941,593,2151,98745,72.33926276846259,0.765982636148382,0.4743401759530792,9504.256584713892,361.6963138423129,9142.56027087158,True
0.3871608040201005,1941,593,2151,98745,72.33926276846259,0.765982636148382,0.4743401759530792,9504.256584713892,361.6963138423129,9142.56027087158,True
0.3921758793969849,1941,593,2151,98745,72.33926276846259,0.765982636148382,0.4743401759530792,9504.256584713892,361.6963138423129,9142.56027087158,True
0.39719095477386934,1941,593,2151,98745,72.33926276846259,0.765982636148382,0.4743401759530792,9504.256584713892,361.6963138423129,9142.56027087158,True
0.40220603015075373,1941,593,2151,98745,72.33926276846259,0.765982636148382,0.4743401759530792,9504.256584713892,361.6963138423129,9142.56027087158,True
0.4072211055276382,1941,593,2151,98745,72.33926276846259,0.765982636148382,0.4743401759530792,9504.256584713892,361.6963138423129,9142.56027087158,True
